Column1,Column2,Column3,Column4,Column5
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
9,15,602,1196,0
7,9,514,701,0
6,7,418,641,0
6,7,440,561,0
10,13,698,1013,0
9,11,638,844,0
10,13,687,1053,0
67,127,3986,7033,0
183,361,10684,19717,1
227,445,13325,24456,1
14,18,981,1391,0
5,6,363,455,0
9,12,624,998,0
7,8,506,667,0
8,10,558,807,0
9,11,635,873,0
9,11,611,809,0
271,387,18702,30692,0
115,117,8621,8509,0
93,95,6487,8697,0
126,129,9003,10829,0
99,101,7048,8693,0
106,109,7620,9160,0
115,118,8123,10343,0
107,108,7722,8947,0
103,104,7337,8883,0
256,398,16452,25327,0
655,1189,39624,68040,1
641,1168,38847,66515,1
337,535,21484,33537,0
149,167,10575,12977,0
166,186,11614,14927,0
151,165,10777,12864,0
122,134,8627,10823,0
138,150,9677,12455,0
128,134,9203,10783,0
101,104,7144,9059,0
110,114,7914,9378,0
174,182,12387,15247,0
112,119,7892,10028,0
356,468,24614,37547,0
406,495,29436,38113,0
239,255,16950,20449,0
389,420,27091,35339,0
326,361,23628,27248,0
276,288,19151,25635,0
325,340,23487,26771,0
263,276,18425,22803,0
376,415,26558,33281,0
287,313,20586,25248,0
277,283,19524,24649,0
301,316,21581,25595,0
278,288,19641,24739,0
298,307,21360,25225,0
271,281,19171,23848,0
321,341,22889,27397,0
308,331,21813,27201,0
323,348,22907,27939,0
324,354,22939,28287,0
307,330,21725,27354,0
306,323,21743,26745,0
273,282,19479,23455,0
286,298,20306,25255,0
288,297,20645,24365,0
268,278,19028,23410,0
304,323,21517,26441,0
313,337,22239,26805,0
493,539,34892,43604,0
290,309,20560,25517,0
315,335,22342,27233,0
299,323,21213,25849,0
336,365,23690,29584,0
309,333,21986,26981,0
293,313,20733,25589,0
317,344,22472,27491,0
291,315,20611,25553,0
298,318,21143,26370,0
289,303,20608,24761,0
9,12,654,947,0
7,8,495,627,0
11,14,753,1119,0
7,9,514,701,0
7,9,495,792,0
7,9,503,701,0
54,100,3218,5667,0
186,365,10901,19949,0
240,472,14060,25902,0
10,12,712,899,0
10,12,690,939,0
10,14,709,1098,0
9,12,632,947,0
10,12,712,939,0
7,8,495,667,0
13,16,870,1243,0
250,362,17198,28874,0
133,136,9927,9971,0
93,96,6462,8771,0
120,123,8607,10313,0
102,103,7304,8737,0
115,118,8170,10234,0
107,109,7719,9061,0
114,116,8049,10283,0
113,116,8156,9531,0
209,318,13447,20415,0
649,1187,39168,67764,1
662,1200,40138,68795,1
322,521,20405,31605,0
158,181,11121,14421,0
145,161,10240,12485,0
154,174,10825,13746,0
141,158,9984,12615,0
133,141,9406,11581,0
121,131,8608,10737,0
114,116,8104,9923,0
122,125,8731,10496,0
120,126,8554,10575,0
169,178,12013,14882,0
361,475,24958,38081,0
410,494,29682,38407,0
248,262,17594,21335,0
368,394,25789,32735,0
319,355,22951,27308,0
269,281,18843,24253,0
335,359,23944,28377,0
306,331,21477,27137,0
350,380,24850,30651,0
272,292,19427,23814,0
278,281,19761,24021,0
291,305,20732,25245,0
291,306,20701,25415,0
274,281,19518,23813,0
271,277,19315,23432,0
288,305,20533,25117,0
308,330,21852,26759,0
339,367,23929,29185,0
334,363,23610,29641,0
309,334,21997,26986,0
305,323,21542,26553,0
304,325,21599,27069,0
288,295,20563,24537,0
293,310,20841,25527,0
303,321,21578,26272,0
289,303,20476,25041,0
311,332,22017,27171,0
293,311,20882,25481,0
432,453,30677,37448,0
313,337,22162,27565,0
316,342,22398,27271,0
316,347,22315,27836,0
344,374,24327,30191,0
321,352,22735,28211,0
343,371,24328,30041,0
294,313,20901,25381,0
276,290,19610,23754,0
329,354,23193,29215,0
297,318,21181,25647,0
302,320,21443,26595,0
289,305,20580,25149,0
296,310,20996,25754,0
288,306,20497,24791,0
312,334,22047,27431,0
292,311,20802,25409,0
302,320,21402,26347,0
295,315,20997,25380,0
305,328,21560,26963,0
313,331,22180,27121,0
290,312,20683,25099,0
293,312,20714,25995,0
297,314,21185,25642,0
273,287,19354,23905,0
299,318,21234,26223,0
300,316,21303,26003,0
295,311,20921,25665,0
274,289,19552,23536,0
467,498,33207,40887,0
277,296,19650,23790,0
320,344,22470,28827,0
285,302,20522,23839,0
279,294,19538,24975,0
317,343,22651,27297,0
274,290,19406,24050,0
310,330,22031,26871,0
293,314,20785,25703,0
301,318,21314,26215,0
299,320,21324,25979,0
269,282,19052,23418,0
307,335,21721,27465,0
310,326,22098,26415,0
286,306,20293,25087,0
296,318,20936,25855,0
327,354,23157,28602,0
304,323,21561,26481,0
286,305,20439,24573,0
303,321,21300,27101,0
308,328,22009,26339,0
294,316,20799,25926,0
311,333,22033,27173,0
312,332,22218,26923,0
294,314,20846,25847,0
293,311,20816,25361,0
288,306,20409,25450,0
276,289,19687,23589,0
293,313,20711,25589,0
457,489,32481,39872,0
299,325,21166,26549,0
299,318,21253,25431,0
323,352,22818,28875,0
287,300,20471,24726,0
280,298,19826,24503,0
320,342,22710,27831,0
295,316,20947,25683,0
292,308,20690,25627,0
280,296,20022,23926,0
308,327,21682,27585,0
633,989,40647,61421,1
872,1457,54458,88349,1
1026,1684,65348,105651,1
630,779,44433,59972,0
451,478,32141,39055,0
470,497,33241,41149,0
496,525,35226,42973,0
481,512,34021,42531,0
474,498,33935,40482,0
463,491,32820,40401,0
493,526,34862,43351,0
488,518,34684,41999,0
501,536,35560,43947,0
479,509,34071,41616,0
487,521,34535,42373,0
524,566,37018,45959,0
498,534,35384,42775,0
541,595,38162,47801,0
799,870,56641,69690,0
512,556,36182,45299,0
500,534,35577,43138,0
489,518,34511,42871,0
524,559,37309,45505,0
450,473,31999,38693,0
486,519,34433,42769,0
512,550,36379,44426,0
481,509,34118,42029,0
482,512,34236,41715,0
526,570,37224,46071,0
497,535,35268,43377,0
494,531,35010,42916,0
534,581,37688,47061,0
518,558,36832,44719,0
506,548,35778,44523,0
477,507,33909,41377,0
473,496,33580,40358,0
498,542,35162,44087,0
547,599,38773,48129,0
502,534,35550,43703,0
501,533,35610,43573,0
466,490,33198,40034,0
491,522,34692,43111,0
501,544,35635,43979,0
480,512,33985,41499,0
535,580,37829,47011,0
511,557,36256,44312,0
761,818,53908,66415,0
488,521,34546,42712,0
532,575,37670,46585,0
499,541,35484,43453,0
491,518,34726,42615,0
487,519,34590,42401,0
491,531,34866,43068,0
496,532,35150,43091,0
494,523,35017,43121,0
487,523,34633,41857,0
515,563,36313,45993,0
491,522,35003,41962,0
501,539,35389,43961,0
523,565,37032,45725,0
502,540,35606,43555,0
499,540,35322,43699,0
520,559,36852,45100,0
497,535,35265,43505,0
490,525,34787,42309,0
503,544,35556,44355,0
487,517,34472,42141,0
489,523,34686,42572,0
497,532,35310,42835,0
459,489,32429,39925,0
493,530,34946,42975,0
459,494,32593,40167,0
475,507,33636,40900,0
497,537,35157,43341,0
480,518,34000,42343,0
634,669,45012,54496,0
473,503,33518,40849,0
447,477,31692,38733,0
419,443,29763,36001,0
424,454,29902,37146,0
412,436,29367,35019,0
380,400,26871,33011,0
401,428,28445,34795,0
377,397,26706,32453,0
405,433,28646,35496,0
389,410,27671,32919,0
377,403,26586,32905,0
383,409,27227,32613,0
329,349,23299,28557,0
354,370,24912,30874,0
351,370,25059,29663,0
324,342,22915,28263,0
304,317,21632,25853,0
305,316,21553,26203,0
305,323,21663,26132,0
316,337,22279,27677,0
301,314,21434,25455,0
