Column1,Column2,Column3,Column4,Column5
0,0,0,0,
0,1,0,85,
0,1,0,85,
0,0,0,0,
0,1,0,85,
17,23,1050,1686,
49,72,3290,5707,
38,49,2731,3853,
59,73,4182,6010,
37,41,2664,3149,
89,96,6285,7763,
47,53,3351,4037,
56,64,3947,4968,
39,44,2738,3435,
47,50,3302,3844,
55,67,3850,5369,
52,60,3675,4555,
59,67,4145,5166,
48,57,3397,4365,
67,76,4714,5928,
42,48,2966,3747,
45,48,3162,3843,
43,48,3032,3768,
55,63,3851,5033,
41,46,2889,3596,
54,61,3832,4733,
49,55,3472,4369,
52,63,3663,4886,
117,131,8222,10249,
48,54,3340,4183,
62,71,4387,5609,
54,62,3815,4756,
54,60,3824,4659,
43,47,3035,3574,
42,47,2947,3753,
46,54,3235,4239,
52,59,3664,4710,
42,48,2988,3667,
59,69,4139,5474,
43,51,2996,4033,
46,50,3291,3743,
47,53,3268,4173,
70,82,4903,6268,
50,58,3532,4503,
57,66,4027,5071,
100,114,7053,8855,
40,42,2854,3148,
39,44,2716,3515,
51,62,3534,5111,
47,52,3351,4032,
43,47,3093,3705,
51,58,3554,4644,
44,51,3117,3993,
54,60,3780,4699,
52,61,3680,4658,
60,67,4217,5209,
46,49,3225,3778,
54,63,3804,4961,
46,54,3235,4239,
51,55,3618,4182,
48,57,3386,4485,
49,56,3400,4392,
61,73,4312,5765,
100,111,7065,8625,
49,53,3489,4141,
56,65,3889,5162,
59,67,4126,5097,
60,71,4271,5425,
43,49,3007,3842,
67,77,4714,6133,
34,36,2381,2832,
67,76,4739,5859,
34,40,2408,3051,
65,73,4571,5810,
40,47,2809,3649,
61,68,4291,5304,
44,51,3139,3873,
46,49,3206,3949,
53,62,3724,4964,
59,68,4189,5211,
50,55,3527,4230,
112,129,7864,10272,
47,51,3354,3878,
52,60,3642,4715,
52,59,3675,4590,
54,61,3821,4813,
42,48,2947,3739,
61,68,4277,5392,
50,58,3521,4583,
53,58,3758,4468,
46,52,3241,4091,
50,57,3546,4389,
42,45,2939,3634,
59,70,4172,5399,
54,63,3779,5070,
49,52,3492,3947,
58,65,4019,5357,
38,42,2716,3204,
99,113,7001,8901,
57,63,4033,4977,
48,56,3389,4251,
