Column1,Column2,Column3,Column4,Column5
155,307,9016,16932,0
140,333,8225,18564,0
315,692,18445,38361,1
184,366,10769,20060,0
178,354,10308,19302,0
189,370,11051,20203,0
181,358,10568,19461,0
182,359,10594,19492,0
177,353,10328,19179,0
178,358,10389,19542,0
178,359,10383,19640,0
125,316,7376,17599,0
186,368,10789,20096,0
185,364,10808,19879,0
179,357,10431,19414,0
180,359,10510,19578,0
179,355,10476,19311,0
180,359,10505,19503,0
364,721,21199,39331,1
175,350,10177,18943,0
176,351,10240,19009,0
174,348,10092,18792,0
183,360,10660,19577,0
176,353,10262,19179,0
183,363,10711,19775,0
177,353,10328,19179,0
179,358,10412,19561,0
182,362,10594,19747,0
186,362,10730,19643,0
183,360,10611,19540,0
182,361,10583,19600,0
175,348,10212,18878,0
180,360,10505,19588,0
174,349,10092,18877,0
359,714,21008,38889,1
178,354,10383,19215,0
180,359,10529,19546,0
177,354,10304,19221,0
