Column1,Column2,Column3,Column4
56,57,4158,4341
44,44,2992,4344
34,35,2596,2409
63,64,4356,6043
22,22,1661,1572
74,75,5225,6689
17,17,1232,1402
72,73,5192,6117
19,20,1265,2059
78,85,5680,5898
121,165,8393,13021
61,61,4268,4066
80,81,5588,6965
22,23,1595,1897
89,90,6303,7959
68,68,4961,5488
30,31,2035,3065
56,57,4125,4461
132,170,8849,14076
180,251,12707,19849
212,252,15198,18896
188,203,13108,17345
152,153,10868,11997
157,157,11187,13642
127,128,8987,11347
175,206,12211,15004
317,486,20227,31663
295,460,18961,28763
314,479,20240,30574
596,928,38250,58243
219,277,14807,20597
184,220,13238,16459
333,398,23271,29660
221,268,15289,21651
200,199,14289,14414
172,174,11902,16103
89,90,6567,6999
203,203,14465,17638
128,152,8713,12779
389,482,27590,38924
294,355,20698,30329
734,784,52312,64915
293,299,21050,23953
374,374,26609,31924
262,263,18579,23177
356,371,25685,29793
430,497,30238,39842
378,410,26725,32967
387,389,27516,31410
342,367,24194,30913
363,401,25686,31381
813,1237,52582,79234
898,1401,58057,88493
1573,2391,101397,152649
733,1120,47280,70579
627,968,39925,62096
330,351,23550,28273
300,301,21362,26226
280,282,19918,24439
851,960,60338,76211
393,429,27758,32973
478,519,33768,41302
390,448,27475,35635
430,466,30560,36303
374,394,26164,33244
349,375,24950,29729
385,399,27249,33806
278,282,19791,23695
357,360,25635,30235
287,288,20248,25656
643,651,45926,55401
303,319,21815,25185
525,608,37165,46403
497,606,34738,47916
470,498,33142,37775
408,440,28625,36416
334,359,23828,28593
397,412,28151,34203
310,327,21938,27558
343,350,24622,28607
322,327,22788,28422
315,320,22593,26771
680,713,48425,59013
398,441,28320,35781
393,407,27678,33254
342,366,24384,29359
475,555,33489,42961
445,507,31285,40398
413,445,29200,34397
397,413,27914,34786
310,327,22128,26649
633,867,42120,59569
1536,2456,97707,150939
840,1333,53495,85466
790,1266,50246,76543
888,1371,56767,87465
655,1070,41366,65308
428,478,30202,36935
324,348,22717,29728
370,393,26730,29893
528,626,36845,50191
403,448,28446,34560
735,766,51901,63071
433,476,31004,37251
342,368,23930,31419
356,366,25446,28836
358,374,25365,31983
305,315,21775,26022
368,381,26284,31509
317,330,22404,28135
371,391,26530,31678
335,357,23705,29957
354,368,25121,30344
398,434,28401,33439
556,672,39093,52403
855,923,60208,72441
317,323,22257,28246
313,322,22658,25815
389,409,27344,35325
279,290,20108,23148
415,430,29427,36311
271,286,19172,23956
389,400,28053,32099
326,348,22729,30435
348,364,25252,27872
446,504,31168,42139
314,338,22371,26012
543,599,38365,47081
399,476,27943,37963
781,814,55168,66279
318,323,22895,25886
363,382,25744,32407
312,323,22234,26737
363,378,25896,31340
314,329,22230,27653
429,473,30495,37322
379,415,26743,34337
367,384,26022,30611
350,371,24866,30806
339,346,24091,29031
342,357,24386,28962
467,538,33090,41559
807,886,56922,70399
417,434,29374,36999
272,288,19378,23736
424,445,30325,35821
342,390,23916,32415
393,403,28226,31246
390,416,27282,35955
293,308,21119,23968
423,441,29891,37501
263,282,18745,23015
411,420,29354,34672
276,287,19407,24881
436,471,31380,36558
837,955,58854,75196
498,549,35066,43610
340,362,24024,29527
400,421,28452,34146
317,326,22383,27719
1381, 698, 67097, 71505
1011, 915, 76744, 78104
975, 1345, 13893, 36971
1359, 1913, 31603, 42194
468, 1408, 85517, 47527
1145, 1249, 99285, 42354
245, 1515, 41481, 95388
868, 1420, 22591, 70447
1347, 1149, 3251, 80586
886, 982, 45008, 99782
938, 1849, 3331, 87681
1390, 948, 33172, 47177
802, 330, 81613, 40882
628, 847, 25290, 34223
1454, 1475, 3062, 72335
1088, 313, 16169, 40846
343, 577, 15695, 59882
1060, 926, 4895, 55501
567, 1584, 37876, 46162
1599, 1562, 37247, 21498
252, 1308, 52511, 27242
819, 536, 89891, 14291
916, 457, 27391, 69697
507, 1084, 33494, 65324
461, 602, 97264, 21711
372, 1452, 24252, 91122
1581, 1907, 72213, 45492
1387, 1522, 11516, 75875
490, 474, 34067, 78548
830, 1942, 12976, 67555
638, 526, 76552, 54367
402, 1363, 38804, 14371
636, 443, 14676, 2438
517, 509, 23837, 35674
1518, 563, 71063, 3214
1395, 517, 21756, 38328
802, 1202, 73185, 66178
321, 1474, 58371, 19616
1275, 825, 48014, 88592
1024, 1605, 38593, 50159
1009, 1072, 49838, 83645
522, 1812, 62687, 6663
1349, 1489, 57405, 96476
373, 1005, 33286, 11722
967, 1008, 11302, 16138
791, 344, 44055, 19762
685, 1423, 94297, 82845
507, 1071, 65374, 47558
378, 436, 68988, 84006
1517, 1616, 4029, 50545
849, 1804, 58289, 79059
1485, 326, 41943, 74903
1027, 442, 36217, 53062
