Column1,Column2,Column3,Column4,Column5
8,11,555,921,0
8,9,583,733,0
9,11,638,924,0
10,13,698,1013,0
12,16,825,1235,0
127,134,9599,9402,0
156,159,10917,14369,0
110,112,7909,9470,0
107,108,7623,9347,0
114,116,8115,9883,0
113,116,8145,9651,0
109,111,7664,9873,0
148,152,10752,12246,0
118,125,8221,10997,0
125,136,8974,10638,0
157,180,10901,14027,0
457,514,33297,38722,0
332,356,22888,30779,0
351,381,25367,29477,0
262,276,18353,23859,0
311,318,22304,26466,0
243,254,17372,20703,0
490,524,34645,43150,0
279,289,19869,24253,0
298,309,21200,25973,0
266,280,19002,22803,0
312,329,22062,27781,0
419,440,29899,36182,0
307,321,21664,26989,0
299,317,21410,25056,0
321,348,22527,28115,0
375,417,26519,33349,0
440,472,31304,38630,0
303,313,21577,25749,0
288,307,20439,25665,0
289,295,20588,25089,0
280,291,20026,23956,0
452,476,32062,39139,0
318,344,22522,27774,0
321,352,22658,27891,0
348,387,24570,31385,0
289,302,20600,24567,0
298,318,21096,26039,0
476,513,33698,41296,0
311,336,21983,27467,0
335,363,23792,29204,0
301,328,21405,26035,0
312,332,21965,27803,0
425,450,30335,36882,0
295,309,20905,25597,0
304,326,21618,26663,0
296,316,21041,25867,0
279,292,19811,24078,0
296,313,20962,25925,0
438,463,31149,37820,0
306,324,21751,26579,0
285,301,20261,24845,0
282,298,19956,24639,0
292,310,20758,25263,0
448,476,31811,39422,0
257,264,18374,21651,0
285,303,20140,25036,0
292,313,20749,25165,0
298,319,21104,25993,0
280,298,19826,24263,0
270,285,19175,23461,0
423,454,30097,36954,0
273,289,19315,23773,0
293,316,20727,25342,0
280,302,19784,24551,0
310,335,21936,27329,0
275,291,19601,23425,0
390,409,27691,33488,0
272,289,19213,24221,0
280,301,19960,24165,0
249,265,17602,21840,0
261,276,18559,22627,0
391,413,27715,33696,0
274,295,19366,24049,0
272,295,19349,23865,0
237,248,16910,20107,0
249,260,17559,21779,0
356,379,25336,30860,0
240,247,16955,20889,0
233,247,16662,20036,0
232,245,16387,20445,0
263,285,18659,22757,0
224,235,15931,19129,0
338,358,23992,29330,0
222,229,15756,19021,0
209,221,14784,18613,0
203,209,14552,17104,0
211,223,14850,18825,0
228,243,16293,19489,0
310,329,21927,26848,0
224,238,15845,19471,0
218,233,15545,18869,0
184,192,13069,15427,0
228,249,15992,20664,0
202,209,14425,16741,0
324,347,22971,28308,0
177,187,12546,15433,0
185,197,13068,15949,0
193,202,13715,16575,0
174,182,12409,14807,0
262,277,18496,22744,0
176,190,12475,15295,0
409,462,29558,36279,0
320,334,22552,27975,0
357,374,25395,30631,0
513,543,36403,44740,0
354,374,25210,30855,0
313,330,22304,26847,0
327,345,23074,28376,0
347,376,24603,30571,0
311,326,22131,26575,0
542,584,38413,47022,0
357,385,25098,31685,0
364,394,25873,31335,0
348,377,24600,30005,0
373,416,26354,32702,0
508,553,35860,44429,0
326,347,23054,28332,0
341,368,24153,29851,0
288,300,20526,24187,0
276,288,19503,23835,0
293,311,20783,25321,0
442,471,31225,38140,0
269,283,19101,22961,0
276,292,19494,23902,0
282,304,20026,24243,0
295,324,20736,25715,0
296,326,20923,25967,0
394,428,27913,34254,0
264,283,18555,22489,0
256,279,18139,22089,0
219,232,15510,18838,0
226,242,15938,19671,0
229,246,16224,19575,0
335,359,23672,28868,0
223,237,15765,19573,0
201,212,14314,17091,0
215,231,15201,18785,0
216,237,15264,18888,0
213,234,15054,18743,0
312,339,22013,27092,0
231,256,16340,20307,0
206,227,14584,18033,0
210,233,14803,18541,0
213,232,15104,18675,0
183,198,12963,16090,0
319,342,22583,27967,0
188,202,13406,16106,0
172,181,12142,14909,0
196,213,13867,16965,0
218,245,15399,19757,0
204,217,14495,17517,0
319,352,22578,27958,0
201,218,14131,17495,0
214,240,15108,18950,0
213,234,15065,18703,0
202,225,14344,17925,0
202,219,14219,17801,0
302,327,21425,26164,0
203,221,14348,18021,0
197,212,13994,17043,0
176,186,12472,15378,0
203,224,14400,18027,0
214,234,15172,18631,0
266,285,18770,23104,0
208,229,14713,18253,0
196,212,13862,16843,0
209,235,14739,18697,0
196,211,13843,16748,0
187,207,13242,16593,0
266,285,18858,22984,0
165,175,11633,14441,0
175,192,12459,15419,0
177,196,12486,15859,0
184,196,13046,15843,0
262,285,18538,22976,0
156,162,11106,12791,0
165,183,11612,14964,0
162,177,11497,14133,0
153,164,10838,13083,0
215,230,15185,18602,0
136,148,9680,11675,0
135,145,9532,12021,0
140,151,9892,12425,0
136,146,9711,11738,0
124,132,8779,10707,0
192,206,13604,16850,0
133,142,9403,11735,0
128,137,9106,11165,0
130,141,9224,11237,0
142,157,10042,12461,0
131,141,9260,11728,0
189,202,13362,16527,0
129,139,9219,10948,0
107,113,7561,9445,0
135,145,9543,12021,0
127,137,9015,11173,0
117,124,8375,9891,0
194,215,13715,17140,0
122,130,8592,10695,0
131,143,9254,11916,0
112,119,8045,9521,0
103,106,7265,9071,0
113,121,8097,9741,0
182,198,12795,16338,0
122,130,8768,10375,0
123,132,8666,10755,0
128,142,9083,11426,0
114,120,8103,9899,0
122,131,8633,10729,0
174,184,12384,15126,0
123,131,8713,10641,0
125,141,8854,11205,0
125,135,8828,11081,0
125,134,8878,10898,0
165,174,11702,14407,0
119,130,8476,10330,0
111,120,7819,9923,0
102,105,7276,8645,0
108,114,7652,9423,0
113,122,8028,9695,0
115,125,8083,10352,0
149,157,10583,12637,0
111,120,7855,9614,0
85,87,6036,7169,0
91,94,6440,7919,0
80,85,5708,6781,0
81,84,5692,7019,0
118,122,8354,9666,0
72,75,5076,6185,0
64,67,4529,5308,0
53,55,3715,4337,0
50,53,3492,4133,0
43,44,3014,3563,0
54,56,3828,4494,0
32,33,2233,2637,0
24,25,1672,1949,0
24,26,1672,1994,0
13,14,913,983,0
15,16,1001,1355,0
14,16,1012,1214,0
10,11,658,801,0
9,10,627,719,0
4,5,264,349,0
4,6,264,434,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
9,15,602,1196,0
7,9,514,701,0
6,7,418,641,0
6,7,440,561,0
10,13,698,1013,0
9,11,638,844,0
10,13,687,1053,0
67,127,3986,7033,0
183,361,10684,19717,1
227,445,13325,24456,1
14,18,981,1391,0
5,6,363,455,0
9,12,624,998,0
7,8,506,667,0
8,10,558,807,0
9,11,635,873,0
9,11,611,809,0
271,387,18702,30692,1
115,117,8621,8509,0
93,95,6487,8697,0
126,129,9003,10829,0
99,101,7048,8693,0
106,109,7620,9160,0
115,118,8123,10343,0
107,108,7722,8947,0
103,104,7337,8883,0
256,398,16452,25327,1
655,1189,39624,68040,1
641,1168,38847,66515,1
337,535,21484,33537,1
149,167,10575,12977,0
166,186,11614,14927,0
151,165,10777,12864,0
122,134,8627,10823,0
138,150,9677,12455,0
128,134,9203,10783,0
101,104,7144,9059,0
110,114,7914,9378,0
174,182,12387,15247,0
112,119,7892,10028,0
356,468,24614,37547,1
406,495,29436,38113,0
239,255,16950,20449,0
389,420,27091,35339,0
326,361,23628,27248,0
276,288,19151,25635,0
325,340,23487,26771,0
263,276,18425,22803,0
376,415,26558,33281,0
287,313,20586,25248,0
277,283,19524,24649,0
301,316,21581,25595,0
278,288,19641,24739,0
298,307,21360,25225,0
271,281,19171,23848,0
321,341,22889,27397,0
308,331,21813,27201,0
323,348,22907,27939,0
324,354,22939,28287,0
307,330,21725,27354,0
306,323,21743,26745,0
273,282,19479,23455,0
286,298,20306,25255,0
288,297,20645,24365,0
268,278,19028,23410,0
304,323,21517,26441,0
313,337,22239,26805,0
493,539,34892,43604,0
290,309,20560,25517,0
315,335,22342,27233,0
299,323,21213,25849,0
336,365,23690,29584,0
309,333,21986,26981,0
293,313,20733,25589,0
317,344,22472,27491,0
291,315,20611,25553,0
298,318,21143,26370,0
289,303,20608,24761,0
9,12,654,947,0
7,8,495,627,0
11,14,753,1119,0
7,9,514,701,0
7,9,495,792,0
7,9,503,701,0
54,100,3218,5667,0
186,365,10901,19949,1
240,472,14060,25902,1
10,12,712,899,0
10,12,690,939,0
10,14,709,1098,0
9,12,632,947,0
10,12,712,939,0
7,8,495,667,0
13,16,870,1243,0
250,362,17198,28874,1
133,136,9927,9971,0
93,96,6462,8771,0
120,123,8607,10313,0
102,103,7304,8737,0
115,118,8170,10234,0
107,109,7719,9061,0
114,116,8049,10283,0
113,116,8156,9531,0
209,318,13447,20415,1
649,1187,39168,67764,1
662,1200,40138,68795,1
322,521,20405,31605,1
158,181,11121,14421,0
145,161,10240,12485,0
154,174,10825,13746,0
141,158,9984,12615,0
133,141,9406,11581,0
121,131,8608,10737,0
114,116,8104,9923,0
122,125,8731,10496,0
120,126,8554,10575,0
169,178,12013,14882,0
361,475,24958,38081,1
410,494,29682,38407,0
248,262,17594,21335,0
368,394,25789,32735,0
319,355,22951,27308,0
269,281,18843,24253,0
335,359,23944,28377,0
306,331,21477,27137,0
350,380,24850,30651,0
272,292,19427,23814,0
278,281,19761,24021,0
291,305,20732,25245,0
291,306,20701,25415,0
274,281,19518,23813,0
271,277,19315,23432,0
288,305,20533,25117,0
308,330,21852,26759,0
339,367,23929,29185,0
334,363,23610,29641,0
309,334,21997,26986,0
305,323,21542,26553,0
304,325,21599,27069,0
288,295,20563,24537,0
293,310,20841,25527,0
303,321,21578,26272,0
289,303,20476,25041,0
311,332,22017,27171,0
293,311,20882,25481,0
432,453,30677,37448,0
313,337,22162,27565,0
316,342,22398,27271,0
316,347,22315,27836,0
344,374,24327,30191,0
321,352,22735,28211,0
343,371,24328,30041,0
294,313,20901,25381,0
276,290,19610,23754,0
329,354,23193,29215,0
297,318,21181,25647,0
302,320,21443,26595,0
289,305,20580,25149,0
296,310,20996,25754,0
288,306,20497,24791,0
312,334,22047,27431,0
292,311,20802,25409,0
302,320,21402,26347,0
295,315,20997,25380,0
305,328,21560,26963,0
313,331,22180,27121,0
290,312,20683,25099,0
293,312,20714,25995,0
297,314,21185,25642,0
273,287,19354,23905,0
299,318,21234,26223,0
300,316,21303,26003,0
295,311,20921,25665,0
274,289,19552,23536,0
467,498,33207,40887,0
277,296,19650,23790,0
320,344,22470,28827,0
285,302,20522,23839,0
279,294,19538,24975,0
317,343,22651,27297,0
274,290,19406,24050,0
310,330,22031,26871,0
293,314,20785,25703,0
301,318,21314,26215,0
299,320,21324,25979,0
269,282,19052,23418,0
307,335,21721,27465,0
310,326,22098,26415,0
286,306,20293,25087,0
296,318,20936,25855,0
327,354,23157,28602,0
304,323,21561,26481,0
286,305,20439,24573,0
303,321,21300,27101,0
308,328,22009,26339,0
294,316,20799,25926,0
311,333,22033,27173,0
312,332,22218,26923,0
294,314,20846,25847,0
293,311,20816,25361,0
288,306,20409,25450,0
276,289,19687,23589,0
293,313,20711,25589,0
457,489,32481,39872,0
299,325,21166,26549,0
299,318,21253,25431,0
323,352,22818,28875,0
287,300,20471,24726,0
280,298,19826,24503,0
320,342,22710,27831,0
295,316,20947,25683,0
292,308,20690,25627,0
280,296,20022,23926,0
308,327,21682,27585,0
633,989,40647,61421,1
872,1457,54458,88349,1
1026,1684,65348,105651,1
630,779,44433,59972,1
451,478,32141,39055,0
470,497,33241,41149,0
496,525,35226,42973,0
481,512,34021,42531,0
474,498,33935,40482,0
463,491,32820,40401,0
493,526,34862,43351,0
488,518,34684,41999,0
501,536,35560,43947,0
479,509,34071,41616,0
487,521,34535,42373,0
524,566,37018,45959,0
498,534,35384,42775,0
541,595,38162,47801,0
799,870,56641,69690,0
512,556,36182,45299,0
500,534,35577,43138,0
489,518,34511,42871,0
524,559,37309,45505,0
450,473,31999,38693,0
486,519,34433,42769,0
512,550,36379,44426,0
481,509,34118,42029,0
482,512,34236,41715,0
526,570,37224,46071,0
497,535,35268,43377,0
494,531,35010,42916,0
534,581,37688,47061,0
518,558,36832,44719,0
506,548,35778,44523,0
477,507,33909,41377,0
473,496,33580,40358,0
498,542,35162,44087,0
547,599,38773,48129,0
502,534,35550,43703,0
501,533,35610,43573,0
466,490,33198,40034,0
491,522,34692,43111,0
501,544,35635,43979,0
480,512,33985,41499,0
535,580,37829,47011,0
511,557,36256,44312,0
761,818,53908,66415,0
488,521,34546,42712,0
532,575,37670,46585,0
499,541,35484,43453,0
491,518,34726,42615,0
487,519,34590,42401,0
491,531,34866,43068,0
496,532,35150,43091,0
494,523,35017,43121,0
487,523,34633,41857,0
515,563,36313,45993,0
491,522,35003,41962,0
501,539,35389,43961,0
523,565,37032,45725,0
502,540,35606,43555,0
499,540,35322,43699,0
520,559,36852,45100,0
497,535,35265,43505,0
490,525,34787,42309,0
503,544,35556,44355,0
487,517,34472,42141,0
489,523,34686,42572,0
497,532,35310,42835,0
459,489,32429,39925,0
493,530,34946,42975,0
459,494,32593,40167,0
475,507,33636,40900,0
497,537,35157,43341,0
480,518,34000,42343,0
634,669,45012,54496,0
473,503,33518,40849,0
447,477,31692,38733,0
419,443,29763,36001,0
424,454,29902,37146,0
412,436,29367,35019,0
380,400,26871,33011,0
401,428,28445,34795,0
377,397,26706,32453,0
405,433,28646,35496,0
389,410,27671,32919,0
377,403,26586,32905,0
383,409,27227,32613,0
329,349,23299,28557,0
354,370,24912,30874,0
351,370,25059,29663,0
324,342,22915,28263,0
304,317,21632,25853,0
305,316,21553,26203,0
305,323,21663,26132,0
316,337,22279,27677,0
301,314,21434,25455,0
292,310,20651,25335,0
303,324,21456,26523,0
298,319,21184,25764,0
289,308,20393,25507,0
307,325,21828,26245,0
299,325,21180,26261,0
429,459,30455,37548,0
296,312,20937,25587,0
288,305,20467,24837,0
279,297,19829,24288,0
292,311,20703,25529,0
260,275,18449,22681,0
276,290,19596,23863,0
278,297,19746,24085,0
274,287,19525,23428,0
286,307,20169,25681,0
267,283,19029,23057,0
273,289,19348,23813,0
288,305,20500,24837,0
274,295,19391,24060,0
287,311,20383,25121,0
287,305,20362,24813,0
265,285,18767,23493,0
267,280,18969,23043,0
262,277,18595,22744,0
290,311,20521,25345,0
264,281,18817,22733,0
255,269,18078,22277,0
287,304,20335,25171,0
228,237,16336,19176,0
266,281,18790,23437,0
265,286,18805,23135,0
269,288,19075,23451,0
249,262,17707,21287,0
287,314,20198,25762,0
256,271,18339,21577,0
372,395,26348,32716,0
251,265,17825,21853,0
247,259,17490,21201,0
289,314,20432,25615,0
240,253,17135,20453,0
230,239,16259,20068,0
258,281,18406,22413,0
238,251,16813,20809,0
255,272,18036,22139,0
250,266,17709,21695,0
253,273,17953,22120,0
224,237,15980,19277,0
234,251,16529,20713,0
237,250,16871,20175,0
246,260,17322,21275,0
234,252,16669,20246,0
218,231,15389,19153,0
213,223,15128,18377,0
219,231,15568,18865,0
213,228,15127,18539,0
217,232,15397,19006,0
216,230,15278,18559,0
218,232,15394,19195,0
201,215,14349,17393,0
216,230,15273,19063,0
229,247,16301,19580,0
200,210,14119,17431,0
215,231,15275,18833,0
278,292,19723,23998,0
194,202,13792,16535,0
181,193,12826,15965,0
190,201,13533,16165,0
201,215,14099,17964,0
182,195,13043,15545,0
200,214,14096,17607,0
179,192,12757,15427,0
189,201,13365,16533,0
189,202,13431,16378,0
195,209,13766,17117,0
187,200,13296,16195,0
178,189,12631,15573,0
182,194,12936,15591,0
177,191,12515,15820,0
178,189,12664,15413,0
173,182,12351,14895,0
148,155,10465,12937,0
191,204,13560,16819,0
159,168,11320,13662,0
174,185,12312,15389,0
172,182,12238,14543,0
175,190,12300,15671,0
180,190,12777,15631,0
175,190,12468,15162,0
178,189,12521,15573,0
171,182,12268,14271,0
138,149,9650,12573,0
181,192,12796,15731,0
163,176,11660,14022,0
